text,size
"{united,states}",152
"{improving,quality}",81
"{continually,improving}",80
"{send,error}",80
"{social,security}",75
"{cheers,applause}",69
"{american,people}",51
"{hillary,clinton}",51
"{ve,got}",50
"{applause,blitzer}",50
"{senator,rubio}",44
"{federal,government}",43
"{moderator,senator}",42
"{governor,perry}",41
"{senator,cruz}",40
"{illegal,immigrants}",36
"{donald,trump}",35
"{york,times}",34
"{governor,kasich}",32
"{senator,obama}",31
