text,size
"{united,states}",132
"{york,times}",101
"{re,enter}",90
"{york,newsletters}",90
"{invalid,email}",90
"{verify,re}",90
"{robot,clicking}",90
"{box,invalid}",90
"{times,newsletters}",90
"{select,newsletter}",90
"{email,address}",90
"{address,re}",90
"{invalid,address}",90
"{clicking,box}",90
"{box,email}",90
"{president,trump}",62
"{donald,trump}",61
"{lopez,obrador}",53
"{year,old}",48
"{president,donald}",48
